term,beta,se_hc3,t_hc3,p_hc3,ci95_lo_hc3,ci95_hi_hc3
intercept,-0.9985156896202341,0.16193877950569172,-6.166007256990219,9.739204185122446e-10,-1.3162507944414927,-0.6807805847989756
h3_len,0.09092966041604722,0.003814233889132203,23.839560724141936,4.695227109010926e-102,0.08344586926808675,0.09841345156400769
method_is_ab2,-0.005637924099006014,0.02920179558748821,-0.1930677201720307,0.8469406886695319,-0.0629338701983986,0.05165802200038656
bound_is_bound,-0.1055183231476633,0.029578012190459965,-3.5674582344548824,0.0003755867403824823,-0.1635524322870986,-0.04748421400822801
p_ge1,0.04648959167087163,0.03361614092318161,1.3829544496826083,0.16695251857668142,-0.01946760581151337,0.11244678915325662
p_ge2,-0.004628456589645502,0.056655848721598366,-0.08169424153169627,0.9349043504904078,-0.11579115700793363,0.1065342438286426
has_PP,0.027730828581897793,0.08403058945079524,0.33000873566566846,0.7414546373880957,-0.13714300972192958,0.19260466688572514
kmer3_rarity,0.31778396861128044,0.05371653254181648,5.915943445603019,4.370775681852553e-09,0.21238841017922047,0.4231795270433404
